tab 	pmag_sites																					
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	5.2	LOW	357.9	Site direction included in results table	60.5	9.98E+02	9.98E+02	Years Cal BP	99	9	9	0		8.9188	0
	This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	4.8	MAG	171.9	Site direction included in results table	-71.4	9.98E+02	9.98E+02	Years Cal BP	114	9	9	0		8.93	0
	This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	7.8	HEM	189.2	Site direction included in results table	-23.5	9.98E+02	9.98E+02	Years Cal BP	61	7	7	0		6.9015	0
	This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	5.2	LOW	49.1	Site direction included in results table	36.8	9.98E+02	9.98E+02	Years Cal BP	99	9	9	0		8.9188	100
	This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.5a:Z40.6a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	4.8	MAG	241.4	Site direction included in results table	-42.8	9.98E+02	9.98E+02	Years Cal BP	115	9	9	0		8.9304	100
	This study	Khukh_Davaa	Z40	Z40.1a:Z40.2a:Z40.3a:Z40.4a:Z40.7a:Z40.8a:Z40.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	7.8	HEM	202.2	Site direction included in results table	-7.9	9.98E+02	9.98E+02	Years Cal BP	61	7	7	0		6.9017	100
	This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a:Z41.6a:Z41.7a:Z41.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	8.3	LOW	356.8	Site direction included in results table	72.5	9.98E+02	9.98E+02	Years Cal BP	45	8	8	0		7.8456	0
	This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a:Z41.6a:Z41.7a:Z41.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	4.6	MAG	175.5	Site direction included in results table	-59.9	9.98E+02	9.98E+02	Years Cal BP	147	8	8	0		7.9525	0
	This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	16.1	HEM	178.8	Site direction included in results table	-26.2	9.98E+02	9.98E+02	Years Cal BP	24	5	5	0		4.8303	0
	This study	Khukh_Davaa	Z41	Z41.1a:Z41.2a:Z41.3a:Z41.4a:Z41.5a:Z41.6a:Z41.7a:Z41.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	8.3	LOW	63.2	Site direction included in results table	32.4	9.98E+02	9.98E+02	Years Cal BP	45	8	8	0		7.8458	100
